logFC	AveExpr	t	P.Value	adj.P.Val	B	group	gene
CITED2	-0.642545416350426	6.42054554124933	-3.61642405998164	0.000848917698477138	0.138615020160515	-0.605968925427073	down	CITED2
TNFAIP3	-0.784424237964867	9.38072294896373	-3.57557212212882	0.000954714611090427	0.142790005446953	-0.707626083627676	down	TNFAIP3
DUSP2	-0.859992012355606	8.65336071434864	-3.55231402811953	0.00102049854117424	0.144149468538246	-0.765267746419402	down	DUSP2
SLC30A1	1.28350403103138	2.51724238255106	3.53519880542582	0.00107166793777233	0.148985426080793	-0.807574596946539	up	SLC30A1
MAPK7	-0.585547172934391	2.45245900514919	-3.52505776530071	0.00110314005047034	0.149875470368482	-0.832597323695969	down	MAPK7
SMAD7	-0.916133792213205	3.1050420400031	-3.47024357166819	0.00128921083526107	0.160515398519205	-0.967262900185504	down	SMAD7
GADD45A	-0.76527554553917	4.68919022044362	-3.41813764950451	0.00149372094100659	0.17263146303919	-1.09433315429412	down	GADD45A
DKFZP434I0714	0.610988281279511	3.33894237517072	3.415568294001	0.00150456954641913	0.172763411530115	-1.10057471678945	up	DKFZP434I0714
MT1G	2.22290765725098	1.75713356529296	3.3774408321177	0.00167468343179801	0.185130532417024	-1.19292152766623	up	MT1G
BCL3	-0.972476852299559	4.02912786667163	-3.36994526524981	0.00171022162718929	0.186143124179735	-1.21101528734212	down	BCL3
ZFP36	-0.919128128903532	9.3668373454021	-3.36890313872177	0.00171521925865134	0.186143124179735	-1.21352930576727	down	ZFP36
LYPD3	-1.02311376659705	3.44620745407066	-3.34884604292341	0.00181416618010929	0.193344489063384	-1.26183834576602	down	LYPD3
KLRG1	0.698689531165115	5.62183347515174	3.34296510366643	0.00184419628509786	0.194316658911076	-1.27597529037709	up	KLRG1
DYNLT1	-0.589133607747835	7.02482606522163	-3.33140926670482	0.0019045915435238	0.194316658911076	-1.3037169573455	down	DYNLT1
SNORD10	0.651898403799054	11.2701849454588	3.31636291605295	0.00198606066517173	0.194850079507311	-1.33976433479259	up	SNORD10
MUC20	0.656265929415799	1.53674413808645	3.29007520733898	0.00213642720239782	0.201431267846418	-1.40254069245091	up	MUC20
SIK1	-1.18738220300132	3.7628444863201	-3.28963536884468	0.00213903301623626	0.201431267846418	-1.40358883887906	down	SIK1
GJB6	-0.902255407309712	1.59463452243299	-3.27985122284443	0.00219778743240939	0.20587484590538	-1.4268857705035	down	GJB6
PTGDR	0.724299349140662	1.53444632800367	3.26605705976063	0.00228323697732153	0.206870335405965	-1.45966904298359	up	PTGDR
MT2A	1.36035270262762	7.64102895023699	3.2601615243249	0.00232071356286751	0.206870335405965	-1.47365819043633	up	MT2A
PDCD1	-0.718897517001642	4.84364028104622	-3.24764395413091	0.00240223376940119	0.210722339080071	-1.50331597399901	down	PDCD1
SF3A2	-0.64350424174017	4.11517418413152	-3.22534589544451	0.00255423523260912	0.214435276745175	-1.55599594410162	down	SF3A2
PPDPF	-0.729916172331248	5.66975657183558	-3.19150341203917	0.00280249646717772	0.227055269048866	-1.63557644070462	down	PPDPF
RRM2	-0.693549156864708	1.95962426136349	-3.18222920792762	0.00287442655223002	0.227872802399476	-1.65730508897461	down	RRM2
HMGB3	-0.639736931518944	2.11525583577902	-3.17754207492651	0.00291144212239678	0.228272453279374	-1.66827348431287	down	HMGB3
IFNG	0.670455890723455	3.99582527730511	3.16770244572042	0.00299062330401607	0.229726474471259	-1.69127042931644	up	IFNG
PHLDA1	-0.598430081551124	2.20897110231451	-3.16219676815532	0.00303581430655122	0.229920949055313	-1.70412105277337	down	PHLDA1
RNASE4	-0.597636546259249	1.69015329769285	-3.13797066893599	0.0032424591721348	0.237951457051465	-1.76051942020264	down	RNASE4
PTGDR2	0.865441519093201	1.76145389777438	3.11935790091686	0.00341019125246812	0.244174519553806	-1.80368577401193	up	PTGDR2
SOCS1	-0.830703273221402	5.76246813137472	-3.07255799308536	0.00386890467599756	0.254767498882026	-1.9115823751552	down	SOCS1
HOPX	0.648570039756032	3.03310258985688	3.0701979792409	0.00389351386087825	0.254767498882026	-1.91699877182125	up	HOPX
SKIL	-0.77999261625689	3.09762239623902	-3.06383129845998	0.00396064136936791	0.25726823026281	-1.93159885693042	down	SKIL
BHLHE40	-0.699512228444353	5.03762935602939	-3.0565002727215	0.00403928816898572	0.259535201558151	-1.94838882431298	down	BHLHE40
SCARNA12	0.771339603502387	4.8327899079597	3.05294244174726	0.00407798485560481	0.260143277634603	-1.95652884662204	up	SCARNA12
FOSL2	-0.873602578681876	2.86437038570624	-3.04580571232553	0.00415666321714167	0.264215328352455	-1.97284060482411	down	FOSL2
SNORD12	1.06989607899773	3.38584551386177	3.02005012504434	0.00445265955997198	0.273166128148316	-2.03152356662702	up	SNORD12
HOXA1	-0.602039563627466	0.945737475591458	-3.01955743847535	0.00445851059119346	0.273166128148316	-2.03264330278653	down	HOXA1
POLR2J2	-0.591480967965656	1.35884794597156	-2.99900244054591	0.0047091649509773	0.282201070025232	-2.07926355490469	down	POLR2J2
CXCR6	-0.609096862878807	3.14163724725303	-2.97625287114009	0.00500200084838741	0.290764143944118	-2.13064235156743	down	CXCR6
DDIT4	-0.724732649730262	9.00594603067856	-2.97201001294526	0.00505847405629239	0.290764143944118	-2.14019898195159	down	DDIT4
FAM46C	-0.676068670388962	6.54669609819117	-2.93310468558095	0.00560495000757968	0.303829974983585	-2.22744910095909	down	FAM46C
GADD45B	-0.611353018238061	6.33888989610761	-2.93307208912785	0.00560543023591882	0.303829974983585	-2.22752191289014	down	GADD45B
NFKBIE	-0.865699188327747	3.1529836163376	-2.93270009354034	0.0056109134047427	0.303829974983585	-2.22835281892618	down	NFKBIE
MIRLET7D	-1.20219123481428	1.54044953369089	-2.90805407013246	0.00598559489658197	0.309352596544797	-2.28326098324884	down	MIRLET7D
RHOB	-0.624318387844777	1.73670929603791	-2.90177899612867	0.00608466462526285	0.309352596544797	-2.29719602357946	down	RHOB
TRAF4	-0.916204289595002	2.42277578069243	-2.89282528064018	0.00622868269433096	0.309352596544797	-2.31704766936807	down	TRAF4
FURIN	-0.62001194710565	3.07257004094052	-2.89104776514797	0.0062576501506403	0.309352596544797	-2.32098420329495	down	FURIN
DBNDD1	0.771635170317879	1.21971640722232	2.87269645189141	0.00656416580802428	0.314509030371911	-2.36153857925358	up	DBNDD1
RAB25	0.623368155082347	1.48401033335452	2.85883383251157	0.00680494572247304	0.31942680042551	-2.39206773989497	up	RAB25
HIST1H1B	-0.750586699579831	2.5453258209191	-2.84936162540787	0.00697418237130839	0.31942680042551	-2.41287537327938	down	HIST1H1B
NR4A3	-1.08988603267063	2.06823451758066	-2.80954084586923	0.00772948915485326	0.325036727200939	-2.49987717934419	down	NR4A3
CREM	-0.856840575086699	5.8921635986116	-2.78334107725391	0.00826724756232053	0.327429772648401	-2.55669769981562	down	CREM
MT1F	0.67682016997103	4.28198959266435	2.76659169743802	0.00862904102098553	0.332973067862631	-2.59284507883307	up	MT1F
GNA15	-0.769915727380762	3.43974572409013	-2.75440275082948	0.00890150943894097	0.333500188868281	-2.61906254601475	down	GNA15
GALR2	-0.739265908642909	1.04433452405965	-2.7264021770706	0.0095579272512342	0.339627433758238	-2.67900664569265	down	GALR2
SNORD18B	1.50146903688476	3.06961648580813	2.70331482468531	0.010132588019676	0.351539574218701	-2.72813294275626	up	SNORD18B
ZNF844	-0.616892294703691	2.05588114352244	-2.70134733672604	0.0101830095756027	0.351601208602791	-2.73230683103764	down	ZNF844
MAP3K8	-0.730178343037371	3.31610454590344	-2.69852762614361	0.0102556759763409	0.353057100632332	-2.73828517941546	down	MAP3K8
MIR491	-0.947521348442391	0.562223013756632	-2.6972103272983	0.0102897879612512	0.353547579409941	-2.74107671298455	down	MIR491
MIR1914	1.11986057306262	0.883343612219279	2.67000617610819	0.0110181197447207	0.365177830943275	-2.79852532724144	up	MIR1914
MT1E	1.55743607104285	4.72738392028691	2.64068998450279	0.0118560462354088	0.376138878605713	-2.86000179315381	up	MT1E
CCL20	-0.928493231354895	1.95602906242703	-2.63364998846608	0.0120658226167778	0.37741214575292	-2.87469734883309	down	CCL20
TOX2	-0.589384188018865	2.16121691509489	-2.62152620645827	0.0124351105827769	0.380275082735848	-2.89994335100828	down	TOX2
NCF2	0.618237465629675	3.40414007004134	2.60079304762587	0.0130908132767825	0.38638523167525	-2.942935307516	up	NCF2
SNORD88C	-1.1183486281681	1.06819637972556	-2.59785164219775	0.0131863687105149	0.387278861897267	-2.94901587621172	down	SNORD88C
ULBP2	-0.668109634943791	0.960482944609895	-2.58509839964395	0.0136081286997472	0.390641088061453	-2.97532580050208	down	ULBP2
SNORD17	-0.659009561369654	3.36579414288958	-2.56969651367259	0.0141339683213675	0.393219711573167	-3.00698236471938	down	SNORD17
NR4A2	-1.19193100812308	6.54831953395534	-2.54994830813393	0.0148354373583329	0.400287628428621	-3.04738280351802	down	NR4A2
HIST1H2AL	-0.804692014620563	2.20121976299575	-2.54385594616734	0.0150581894295916	0.401563602957685	-3.05980320589405	down	HIST1H2AL
SNORD84	0.916682383747246	4.83060523681887	2.53650474017207	0.0153310397991542	0.403641784534536	-3.07476273517387	up	SNORD84
MIR4637	1.37489417834483	2.67783706839744	2.52378620854961	0.0158138037192131	0.409017191317041	-3.10057397418186	up	MIR4637
OR7E156P	0.640128208153952	0.79642371367862	2.49836671907256	0.0168205105922634	0.418653162209071	-3.15189064220005	up	OR7E156P
SNORA14B	1.02025382499593	1.2774281095816	2.49289624293858	0.0170446633453538	0.419586332255335	-3.16288701681105	up	SNORA14B
IL17RB	0.737342400059618	2.1677709717524	2.4765956005875	0.0177288178347966	0.425252695180201	-3.19555327991952	up	IL17RB
HIST1H2AH	-0.863185747066764	2.29542582648663	-2.4562245520446	0.0186189166322657	0.42813886075073	-3.236164482874	down	HIST1H2AH
G0S2	-0.912377879485985	2.14944819628396	-2.43704461570659	0.0194938962167576	0.435287168318438	-3.27418406418286	down	G0S2
SNORA65	1.09941256105499	1.8718005405261	2.43576626226486	0.0195535200104755	0.435287168318438	-3.27671056524205	up	SNORA65
SNORA31	-0.654000292351757	4.64418086033908	-2.43205808804783	0.0197274105844607	0.435287168318438	-3.28403395615027	down	SNORA31
VTRNA1-1	1.14643479428352	4.17192056087159	2.3975608856049	0.0214135866439103	0.442794551131665	-3.35178102956693	up	VTRNA1-1
KLHL11	0.586321499189861	3.46736635945587	2.3949180636565	0.0215479932075823	0.442794551131665	-3.35694246795662	up	KLHL11
SPSB1	-0.594738030139859	2.74663316920931	-2.36689584151387	0.0230207608298109	0.451734841509344	-3.41141693604637	down	SPSB1
MIR4742	1.27358784303534	1.68674063935408	2.33906753586819	0.0245726063728456	0.462307873386794	-3.46505323958229	up	MIR4742
CH25H	-0.614860023813798	0.770730814771199	-2.31743489355052	0.0258433191321475	0.465766133723042	-3.50642725466955	down	CH25H
MIR599	-0.800011808123181	0.589966407026722	-2.31732730301888	0.0258497839474116	0.465766133723042	-3.50663232368822	down	MIR599
MARCKSL1	-0.59798612673539	5.70086268140489	-2.31307467124817	0.0261064790024054	0.465766133723042	-3.51473228400284	down	MARCKSL1
MIR1537	-0.856084701087361	0.44674860205014	-2.30593724307017	0.0265424524300971	0.465766133723042	-3.52830224829497	down	MIR1537
SCARNA3	1.06136301269461	3.31140207809065	2.29224168662575	0.0273973482797823	0.470219869511635	-3.55425399827471	up	SCARNA3
RAMP3	0.611876026982084	0.793064891127807	2.28173141868802	0.0280700627327107	0.477164256463023	-3.57409223518908	up	RAMP3
MIR3685	1.32155870230699	1.99318337636909	2.27075795425945	0.0287881689110114	0.47974890475485	-3.59473243357355	up	MIR3685
HIST1H1A	-0.634399839839362	3.20120123547342	-2.26530134135401	0.0291513318467608	0.483041877389722	-3.60496828158706	down	HIST1H1A
SLC12A7	-0.595912278905582	3.60808973730337	-2.26453157996606	0.0292028913401135	0.483041877389722	-3.60641076837431	down	SLC12A7
IFITM3	1.02733670717008	5.59262006489885	2.26079435400952	0.0294543753206621	0.484334131137087	-3.61340890309423	up	IFITM3
SLC7A5	-0.712462493035983	3.58379367325296	-2.2566628088325	0.0297346443274117	0.484334131137087	-3.62113536583183	down	SLC7A5
SNORA16B	1.00752062102734	1.89884775862552	2.23947034903793	0.0309266632351372	0.492269055643291	-3.65317350323606	up	SNORA16B
SNORA41	-0.688052318342861	4.23612580106929	-2.23019400012529	0.0315873715219504	0.495443222628246	-3.67038350974812	down	SNORA41
MIRLET7A1	0.975674425553798	0.851031803751457	2.19295303665059	0.034368149108778	0.512149529201587	-3.73893126700975	up	MIRLET7A1
SNORD95	1.29191826566345	1.83486775003776	2.18075174840574	0.0353253703212352	0.51388488077197	-3.76119888757156	up	SNORD95
MT1H	0.685435929683461	0.428397456052163	2.16590388469496	0.0365220476035218	0.518951923471335	-3.7881685801002	up	MT1H
SNORD71	1.18629115653055	1.84143069525179	2.14944961318227	0.0378899835674876	0.523059591359459	-3.81789115369957	up	SNORD71
RGS1	-0.771460930462633	7.78449475631491	-2.13307240574419	0.0392962699988145	0.532638111056545	-3.84730127780328	down	RGS1
SNORD116-2	-0.883220964635588	0.957367522590128	-2.11865066922223	0.0405725574630807	0.537696906975301	-3.87305585300548	down	SNORD116-2
MIR553	1.11936274538575	1.3411608497196	2.1139947020786	0.040992323948808	0.540430653067322	-3.88134165354446	up	MIR553
PER1	-0.715265807495912	4.90102869844859	-2.10432918630491	0.0418759560287059	0.547140780097976	-3.89849729709182	down	PER1
ZNF331	-0.75364625843388	5.63279831473029	-2.10405854740008	0.0419009373678807	0.547140780097976	-3.89897678355778	down	ZNF331
SNORA78	0.924463342456833	3.66583498886658	2.09907428614155	0.0423633581426252	0.547834606351014	-3.90779873565649	up	SNORA78
SNORD1B	-1.02984392659472	2.82496531469998	-2.09621461922501	0.0426306867174111	0.547834606351014	-3.9128528810026	down	SNORD1B
DUSP4	-0.588634280154658	4.50588441726272	-2.08411220252504	0.043778522299524	0.554125148609951	-3.93418304566636	down	DUSP4
SNORD30	0.86210834095526	4.77243850702498	2.07469417352681	0.0446904317331519	0.557868104628244	-3.95071524377227	up	SNORD30
DKFZp779M0652	0.63916905284005	1.19964168488279	2.05687257240336	0.0464616530351417	0.564068554378889	-3.98183813460883	up	DKFZp779M0652
MIR320E	0.818528178075629	0.758539654284574	2.05029857866945	0.047130351888425	0.565303729713527	-3.99326536639333	up	MIR320E
MT1L	0.924478382040134	2.15720378184775	2.03321028434768	0.048908030080986	0.573806934331832	-4.02283400725802	up	MT1L
MIR320C1	-0.78066709906386	0.598931346893831	-2.0320684391273	0.0490288727048284	0.574467331402591	-4.02480282095484	down	MIR320C1
