ID	description	GeneRatio	BgRatio	pValue	FDR	qvalue	geneID	size	DB	enrichmentRatio
GO:0009314	GO:0009314	response to radiation	14/137	435/17913	6.29178208544669e-06	0.00283885207695355	0.00262665344746122	MTA1/FIGNL1/DTL/MYC/USF1/DUSP1/CDKN1A/GADD45A/BCL3/SIK1/BHLHE40/HOXA1/RHOB/PER1	14	geneontology_Biological_Process	0.102189781021898
GO:0043153	GO:0043153	entrainment of circadian clock by photoperiod	4/137	19/17913	1.16089006848166e-05	0.00436494665749106	0.00403867544877042	MTA1/SIK1/BHLHE40/PER1	4	geneontology_Biological_Process	0.0291970802919708
GO:0009416	GO:0009416	response to light stimulus	11/137	307/17913	2.44270829877016e-05	0.00730345895810823	0.0067575397134792	MTA1/DTL/MYC/USF1/DUSP1/CDKN1A/BCL3/SIK1/BHLHE40/HOXA1/PER1	11	geneontology_Biological_Process	0.0802919708029197
GO:0009648	GO:0009648	photoperiodism	4/137	23/17913	2.58987906315895e-05	0.00730345895810823	0.0067575397134792	MTA1/SIK1/BHLHE40/PER1	4	geneontology_Biological_Process	0.0291970802919708
GO:0009649	GO:0009649	entrainment of circadian clock	4/137	25/17913	3.65617097784006e-05	0.00916480191778575	0.0084797509345694	MTA1/SIK1/BHLHE40/PER1	4	geneontology_Biological_Process	0.0291970802919708
GO:0038066	GO:0038066	p38MAPK cascade	5/137	53/17913	5.19690034244162e-05	0.0117242071725483	0.0108478456621702	DUSP1/GADD45A/ZFP36/GADD45B/PER1	5	geneontology_Biological_Process	0.0364963503649635
GO:0071850	GO:0071850	mitotic cell cycle arrest	3/137	13/17913	0.000118338260360098	0.0242701013974892	0.0224559588798157	DUSP1/CDKN1A/GADD45A	3	geneontology_Biological_Process	0.0218978102189781
GO:0022409	GO:0022409	positive regulation of cell-cell adhesion	9/137	251/17913	0.000136113310610522	0.0255893023947781	0.0236765521877776	TNFSF14/CD83/CITED2/SMAD7/PDCD1/IFNG/SOCS1/NR4A3/MAP3K8	9	geneontology_Biological_Process	0.0656934306569343
GO:0035970	GO:0035970	peptidyl-threonine dephosphorylation	3/137	16/17913	0.00022784664646829	0.0347930154266502	0.032192305706909	DUSP5/DUSP1/DUSP4	3	geneontology_Biological_Process	0.0218978102189781
GO:0030522	GO:0030522	intracellular receptor signaling pathway	9/137	272/17913	0.000247958927483216	0.0347930154266502	0.032192305706909	NR4A1/NFKBIA/TIFA/CITED2/TNFAIP3/NR4A3/CREM/NR4A2/PER1	9	geneontology_Biological_Process	0.0656934306569343
GO:0051348	GO:0051348	negative regulation of transferase activity	9/137	272/17913	0.000247958927483216	0.0347930154266502	0.032192305706909	DUSP1/CDKN1A/TNFAIP3/SMAD7/GADD45A/ZFP36/SOCS1/GADD45B/DUSP4	9	geneontology_Biological_Process	0.0656934306569343
GO:0043367	GO:0043367	CD4-positive, alpha-beta T cell differentiation	5/137	74/17913	0.00025658113095943	0.0347930154266502	0.032192305706909	CD83/SMAD7/BCL3/IFNG/SOCS1	5	geneontology_Biological_Process	0.0364963503649635
GO:0051249	GO:0051249	regulation of lymphocyte activation	11/137	401/17913	0.000262181410573162	0.0347930154266502	0.032192305706909	TNFSF14/CD83/KAT2A/CDKN1A/TNFAIP3/SMAD7/PDCD1/HMGB3/IFNG/SOCS1/MAP3K8	11	geneontology_Biological_Process	0.0802919708029197
GO:0001933	GO:0001933	negative regulation of protein phosphorylation	11/137	416/17913	0.000358213370038993	0.0448960757115538	0.0415401820343464	MYC/DUSP1/CDKN1A/TNFAIP3/SMAD7/GADD45A/SOCS1/DDIT4/GADD45B/PER1/DUSP4	11	geneontology_Biological_Process	0.0802919708029197
GO:0002694	GO:0002694	regulation of leukocyte activation	12/137	492/17913	0.000401173078120853	0.0476340244337181	0.0440734744550499	TNFSF14/CD83/KAT2A/CDKN1A/TNFAIP3/SMAD7/PDCD1/HMGB3/IFNG/SOCS1/NR4A3/MAP3K8	12	geneontology_Biological_Process	0.0875912408759124
GO:0043370	GO:0043370	regulation of CD4-positive, alpha-beta T cell differentiation	4/137	47/17913	0.000452571191000032	0.0486190765188606	0.0449848958272212	CD83/SMAD7/IFNG/SOCS1	4	geneontology_Biological_Process	0.0291970802919708
GO:1900744	GO:1900744	regulation of p38MAPK cascade	4/137	47/17913	0.000452571191000032	0.0486190765188606	0.0449848958272212	DUSP1/GADD45A/GADD45B/PER1	4	geneontology_Biological_Process	0.0291970802919708
