dynamicColors	mergedColors
MAGED2	turquoise	turquoise
MAGEE1	black	black
MAGEF1	turquoise	turquoise
MAGEH1	blue	blue
MAGI2-AS3	purple	purple
MAGI3	brown	brown
MAGIX	turquoise	turquoise
MAGOH	midnightblue	black
MAGOHB	brown	brown
MAGT1	tan	brown
MAK	red	blue
MAK16	green	green
MAL	turquoise	turquoise
MAL2	grey	grey
MALAT1	magenta	magenta
MALL	grey	grey
MALSU1	black	black
MALT1	greenyellow	greenyellow
MAMDC4	salmon	purple
MAML1	yellow	green
MAML2	turquoise	turquoise
MAML3	grey	grey
MAMLD1	grey	grey
MAMSTR	blue	blue
MAN1A1	grey	grey
MAN1A2	turquoise	turquoise
MAN1B1	blue	blue
MAN1C1	turquoise	turquoise
MAN2A1	magenta	magenta
MAN2A2	purple	purple
MAN2B1	cyan	cyan
MAN2B2	turquoise	turquoise
MAN2C1	salmon	purple
MANBA	grey	grey
MANBAL	blue	blue
MANEA	black	black
MANEAL	grey	grey
MANF	turquoise	turquoise
MANSC1	brown	brown
MANSC4	grey	grey
MAP1A	turquoise	turquoise
MAP1B	pink	pink
MAP1LC3A	pink	pink
MAP1LC3B	black	black
MAP1LC3B2	grey	grey
MAP1LC3C	blue	blue
MAP1S	yellow	green
MAP2K1	pink	pink
MAP2K2	pink	pink
MAP2K3	blue	blue
MAP2K4	pink	pink
MAP2K5	turquoise	turquoise
MAP2K6	turquoise	turquoise
MAP2K7	greenyellow	greenyellow
MAP3K1	black	black
MAP3K10	grey	grey
MAP3K11	salmon	purple
MAP3K12	blue	blue
MAP3K13	brown	brown
MAP3K14	yellow	green
MAP3K15	grey	grey
MAP3K2	magenta	magenta
MAP3K3	purple	purple
MAP3K4	purple	purple
MAP3K5	cyan	cyan
MAP3K6	turquoise	turquoise
MAP3K7	blue	blue
MAP3K8	greenyellow	greenyellow
MAP3K9	green	green
MAP4	turquoise	turquoise
MAP4K1	turquoise	turquoise
MAP4K2	blue	blue
MAP4K3	yellow	green
MAP4K4	pink	pink
MAP4K5	magenta	magenta
MAP6D1	grey	grey
MAP7	turquoise	turquoise
MAP7D1	pink	pink
MAP7D3	turquoise	turquoise
MAP9	green	green
MAPK1	brown	brown
MAPK11	pink	pink
MAPK13	blue	blue
MAPK14	pink	pink
MAPK1IP1L	greenyellow	greenyellow
MAPK3	pink	pink
MAPK6	black	black
MAPK7	greenyellow	greenyellow
MAPK8	green	green
MAPK8IP1	brown	brown
MAPK8IP3	purple	purple
MAPK9	tan	brown
MAPKAP1	pink	pink
MAPKAPK2	greenyellow	greenyellow
MAPKAPK3	turquoise	turquoise
MAPKAPK5	yellow	green
MAPKBP1	salmon	purple
MAPRE1	green	green
MAPRE2	yellow	green
MAPRE3	grey	grey
MAPT	blue	blue
MARCH1	grey	grey
MARCH10	magenta	magenta
MARCH2	pink	pink
MARCH3	black	black
MARCH5	black	black
MARCH6	magenta	magenta
MARCH7	tan	brown
MARCH8	pink	pink
MARCH9	turquoise	turquoise
MARCKSL1	pink	pink
MARK2	turquoise	turquoise
MARK3	pink	pink
MARK4	blue	blue
MARS	red	blue
MARS2	cyan	cyan
MARVELD1	grey	grey
MARVELD2	blue	blue
MARVELD3	purple	purple
MASP2	blue	blue
MAST2	pink	pink
MAST3	turquoise	turquoise
MAST4	turquoise	turquoise
MASTL	green	green
MAT2A	brown	brown
MAT2B	brown	brown
MATK	cyan	cyan
MATN1	grey	grey
MATN2	grey	grey
MATR3	black	black
MAU2	yellow	green
MAVS	turquoise	turquoise
MAX	yellow	green
MAZ	pink	pink
MB21D1	yellow	green
MB21D2	green	green
MBD1	red	blue
MBD2	magenta	magenta
MBD3	blue	blue
MBD4	black	black
MBD5	turquoise	turquoise
MBD6	purple	purple
MBIP	black	black
MBLAC1	red	blue
MBLAC2	turquoise	turquoise
MBNL1	tan	brown
MBNL2	tan	brown
MBNL3	turquoise	turquoise
MBOAT1	blue	blue
MBOAT2	blue	blue
MBOAT4	yellow	green
MBOAT7	turquoise	turquoise
MBP	turquoise	turquoise
MBTD1	magenta	magenta
MBTPS1	yellow	green
MBTPS2	brown	brown
MC1R	purple	purple
MCAM	green	green
MCAT	red	blue
MCC	purple	purple
MCCC1	red	blue
MCCC2	blue	blue
MCEE	brown	brown
MCF2	grey	grey
MCF2L	pink	pink
MCF2L-AS1	turquoise	turquoise
MCF2L2	purple	purple
MCFD2	cyan	cyan
MCL1	pink	pink
MCM10	blue	blue
MCM2	blue	blue
MCM3	turquoise	turquoise
MCM3AP	purple	purple
MCM3AP-AS1	greenyellow	greenyellow
MCM4	blue	blue
MCM5	turquoise	turquoise
MCM6	green	green
MCM7	salmon	purple
MCM8	tan	brown
MCM9	black	black
MCMBP	pink	pink
MCOLN1	blue	blue
MCOLN2	purple	purple
MCOLN3	grey	grey
MCPH1	yellow	green
MCRS1	blue	blue
MCTP1	black	black
MCTP2	brown	brown
MCTS1	brown	brown
MCU	turquoise	turquoise
MDC1	purple	purple
MDFIC	black	black
MDGA1	grey	grey
MDH1	turquoise	turquoise
MDH2	blue	blue
MDK	green	green
MDM1	brown	brown
MDM2	black	black
MDM4	magenta	magenta
MDN1	purple	purple
MDP1	turquoise	turquoise
MDS2	turquoise	turquoise
ME2	brown	brown
ME3	grey	grey
MEA1	turquoise	turquoise
MEAF6	turquoise	turquoise
MECP2	green	green
MECR	turquoise	turquoise
MED1	yellow	green
MED10	yellow	green
MED11	turquoise	turquoise
MED12	salmon	purple
MED12L	grey	grey
MED13	magenta	magenta
MED13L	green	green
MED14	green	green
MED15	red	blue
MED16	turquoise	turquoise
MED17	magenta	magenta
MED18	blue	blue
MED19	yellow	green
MED20	grey	grey
MED21	green	green
MED22	turquoise	turquoise
MED23	green	green
MED24	turquoise	turquoise
MED25	turquoise	turquoise
MED26	greenyellow	greenyellow
MED27	red	blue
MED28	green	green
MED29	blue	blue
MED30	green	green
MED31	cyan	cyan
MED4	midnightblue	black
MED6	black	black
MED7	grey	grey
MED8	yellow	green
MED9	yellow	green
MEF2A	magenta	magenta
MEF2BNB	turquoise	turquoise
MEF2C	blue	blue
MEF2D	green	green
MEFV	turquoise	turquoise
MEGF11	yellow	green
MEGF6	turquoise	turquoise
MEGF8	blue	blue
MEGF9	turquoise	turquoise
MEI1	turquoise	turquoise
MEIG1	grey	grey
MELK	green	green
MEMO1	turquoise	turquoise
MEN1	pink	pink
MEOX1	turquoise	turquoise
MEPCE	pink	pink
MESDC1	pink	pink
MESDC2	turquoise	turquoise
MESP1	grey	grey
MEST	turquoise	turquoise
MESTIT1	grey	grey
MET	purple	purple
METAP1	brown	brown
METAP1D	blue	blue
METAP2	turquoise	turquoise
METRN	pink	pink
METRNL	greenyellow	greenyellow
METTL1	turquoise	turquoise
METTL10	midnightblue	black
METTL12	cyan	cyan
METTL13	turquoise	turquoise
METTL14	black	black
METTL15	turquoise	turquoise
METTL16	green	green
METTL17	red	blue
METTL18	greenyellow	greenyellow
METTL20	yellow	green
METTL21A	purple	purple
METTL21B	brown	brown
METTL22	blue	blue
METTL23	brown	brown
METTL24	green	green
METTL2A	blue	blue
METTL2B	turquoise	turquoise
METTL3	turquoise	turquoise
METTL4	brown	brown
METTL5	brown	brown
METTL6	brown	brown
METTL7A	turquoise	turquoise
METTL8	brown	brown
METTL9	black	black
MEX3C	brown	brown
MEX3D	turquoise	turquoise
MFAP1	green	green
MFAP3	black	black
MFAP3L	grey	grey
MFAP5	grey	grey
MFF	midnightblue	black
MFGE8	blue	blue
MFHAS1	turquoise	turquoise
MFI2	grey	grey
MFN1	grey	grey
MFN2	red	blue
MFNG	blue	blue
MFSD1	brown	brown
MFSD10	turquoise	turquoise
MFSD11	yellow	green
MFSD12	turquoise	turquoise
MFSD2A	green	green
MFSD3	turquoise	turquoise
MFSD4	purple	purple
MFSD5	red	blue
MFSD6	salmon	purple
MFSD7	grey	grey
MFSD8	tan	brown
MFSD9	blue	blue
MGA	tan	brown
MGAT1	blue	blue
MGAT2	red	blue
MGAT4A	tan	brown
MGAT4B	pink	pink
MGAT5	pink	pink
MGC16275	blue	blue
MGC2752	blue	blue
MGEA5	magenta	magenta
MGLL	grey	grey
MGMT	turquoise	turquoise
MGP	grey	grey
MGRN1	red	blue
MGST2	turquoise	turquoise
MGST3	turquoise	turquoise
MIA3	black	black
MIAT	purple	purple
MIB1	tan	brown
MIB2	pink	pink
MICA	red	blue
MICAL1	turquoise	turquoise
MICAL2	turquoise	turquoise
MICAL3	salmon	purple
MICALCL	grey	grey
MICALL1	pink	pink
MICALL2	purple	purple
MICB	yellow	green
MICU1	turquoise	turquoise
MID1IP1	greenyellow	greenyellow
MID2	grey	grey
MIDN	greenyellow	greenyellow
MIEN1	red	blue
MIER1	black	black
MIER2	yellow	green
MIER3	green	green
MIF4GD	blue	blue
MIIP	red	blue
MILR1	purple	purple
MINA	turquoise	turquoise
MINK1	pink	pink
MINOS1	brown	brown
MINPP1	turquoise	turquoise
MIOS	cyan	cyan
MIP	black	black
MIPEP	turquoise	turquoise
MIR103A2	grey	grey
MIR1200	turquoise	turquoise
MIR1203	grey	grey
MIR1204	yellow	green
MIR1296	green	green
MIR1304	grey	grey
MIR143HG	purple	purple
MIR150	midnightblue	black
MIR155HG	grey	grey
MIR16-2	grey	grey
MIR17HG	grey	grey
MIR186	blue	blue
MIR197	grey	grey
MIR21	grey	grey
MIR210HG	blue	blue
MIR22HG	greenyellow	greenyellow
MIR29A	grey	grey
MIR302D	turquoise	turquoise
MIR3064	purple	purple
MIR3128	grey	grey
MIR3140	cyan	cyan
MIR3175	green	green
MIR32	turquoise	turquoise
MIR3609	grey	grey
MIR367	grey	grey
MIR3671	red	blue
MIR3679	purple	purple
MIR3685	cyan	cyan
MIR378E	cyan	cyan
MIR3916	grey	grey
MIR3939	pink	pink
MIR3942	turquoise	turquoise
MIR421	turquoise	turquoise
MIR4420	grey	grey
MIR4437	blue	blue
MIR4439	grey	grey
MIR4442	grey	grey
MIR4446	grey	grey
MIR4449	grey	grey
MIR4461	red	blue
MIR4473	grey	grey
MIR4517	grey	grey
MIR4637	magenta	magenta
MIR4691	yellow	green
MIR4712	grey	grey
MIR4723	grey	grey
MIR4742	green	green
MIR4755	grey	grey
MIR4784	cyan	cyan
MIR497HG	yellow	green
MIR5047	purple	purple
MIR568	brown	brown
MIR569	grey	grey
MIR570	brown	brown
MIR573	grey	grey
MIR590	yellow	green
MIR593	purple	purple
MIR600HG	blue	blue
MIR604	turquoise	turquoise
MIR623	grey	grey
MIR624	green	green
MIR630	turquoise	turquoise
MIR631	grey	grey
MIR644A	green	green
MIR7-1	grey	grey
MIR933	blue	blue
MIR98	black	black
MIRLET7BHG	grey	grey
MIRLET7D	yellow	green
MIRLET7F1	grey	grey
MIRLET7G	purple	purple
MIRLET7I	grey	grey
MIS12	black	black
MIS18A	yellow	green
MIS18BP1	tan	brown
MITD1	brown	brown
MKI67	blue	blue
MKKS	brown	brown
MKL1	red	blue
MKL2	turquoise	turquoise
MKLN1	magenta	magenta
MKNK1	turquoise	turquoise
MKNK2	pink	pink
MKRN1	red	blue
MKRN2	red	blue
MKRN3	red	blue
MKS1	brown	brown
MLANA	purple	purple
MLEC	pink	pink
MLF1	grey	grey
MLF2	yellow	green
MLH1	turquoise	turquoise
MLH3	tan	brown
MLK7-AS1	grey	grey
MLKL	turquoise	turquoise
MLLT1	turquoise	turquoise
MLLT10	magenta	magenta
MLLT10P1	turquoise	turquoise
MLLT11	green	green
MLLT3	brown	brown
MLLT4	grey	grey
MLLT4-AS1	green	green
MLLT6	pink	pink
MLST8	blue	blue
MLX	blue	blue
MLXIP	salmon	purple
MLYCD	turquoise	turquoise
MMAA	yellow	green
MMAB	turquoise	turquoise
MMACHC	turquoise	turquoise
MMADHC	midnightblue	black
MMD	grey	grey
MME	midnightblue	black
MMEL1	grey	grey
MMGT1	pink	pink
MMP11	turquoise	turquoise
MMP24	pink	pink
MMP25	turquoise	turquoise
MMP9	greenyellow	greenyellow
MMRN1	brown	brown
MMS19	turquoise	turquoise
MMS22L	tan	brown
MN1	turquoise	turquoise
MNAT1	turquoise	turquoise
MND1	grey	grey
MNDA	brown	brown
MNT	greenyellow	greenyellow
MOAP1	yellow	green
MOB1A	tan	brown
MOB1B	black	black
MOB2	pink	pink
MOB3A	blue	blue
MOB3B	grey	grey
MOB3C	turquoise	turquoise
MOB4	grey	grey
MOCS2	brown	brown
MOCS3	black	black
MOG	purple	purple
MOGAT3	grey	grey
MOGS	turquoise	turquoise
MOK	grey	grey
MON1A	turquoise	turquoise
MON1B	red	blue
MON2	purple	purple
MORC2	turquoise	turquoise
MORC2-AS1	blue	blue
MORC3	midnightblue	black
MORC4	pink	pink
MORF4L1	black	black
MORF4L2	black	black
MORN1	grey	grey
MORN2	grey	grey
MORN3	salmon	purple
MORN4	turquoise	turquoise
MOSPD1	tan	brown
MOSPD2	brown	brown
MOSPD3	blue	blue
MOV10	salmon	purple
MPDU1	turquoise	turquoise
MPEG1	grey	grey
MPG	blue	blue
MPHOSPH10	black	black
MPHOSPH6	brown	brown
MPHOSPH8	turquoise	turquoise
MPHOSPH9	tan	brown
MPI	turquoise	turquoise
MPL	red	blue
MPND	grey	grey
MPP1	turquoise	turquoise
MPP2	yellow	green
MPP5	magenta	magenta
MPP6	grey	grey
MPP7	blue	blue
MPPE1	red	blue
MPPED2	magenta	magenta
MPRIP	brown	brown
MPST	turquoise	turquoise
MPV17	turquoise	turquoise
MPV17L	blue	blue
MPV17L2	blue	blue
MPZ	grey	grey
MPZL1	brown	brown
MPZL2	green	green
MPZL3	green	green
MR1	red	blue
MRAS	grey	grey
MRC2	blue	blue
MRE11A	tan	brown
MREG	salmon	purple
MRFAP1	green	green
MRFAP1L1	tan	brown
MRGPRD	grey	grey
MRGPRX3	purple	purple
MRI1	turquoise	turquoise
MRM1	turquoise	turquoise
MRO	green	green
MRPL1	brown	brown
MRPL10	yellow	green
MRPL11	turquoise	turquoise
MRPL12	blue	blue
MRPL13	black	black
MRPL14	blue	blue
MRPL15	red	blue
MRPL16	red	blue
MRPL17	red	blue
MRPL18	cyan	cyan
MRPL19	brown	brown
MRPL2	red	blue
MRPL20	turquoise	turquoise
MRPL21	blue	blue
MRPL22	yellow	green
MRPL23	pink	pink
MRPL24	turquoise	turquoise
MRPL27	blue	blue
MRPL28	blue	blue
MRPL3	brown	brown
MRPL30	turquoise	turquoise
MRPL32	yellow	green
MRPL33	midnightblue	black
MRPL34	red	blue
MRPL35	red	blue
MRPL36	red	blue
MRPL37	red	blue
MRPL38	salmon	purple
MRPL39	black	black
MRPL4	red	blue
MRPL40	turquoise	turquoise
MRPL41	red	blue
MRPL42	tan	brown
MRPL43	blue	blue
MRPL44	yellow	green
MRPL45	blue	blue
MRPL46	pink	pink
MRPL47	black	black
MRPL48	turquoise	turquoise
MRPL49	red	blue
MRPL50	green	green
MRPL51	turquoise	turquoise
MRPL52	turquoise	turquoise
MRPL53	cyan	cyan
MRPL54	blue	blue
MRPL55	yellow	green
MRPL9	yellow	green
MRPS10	midnightblue	black
MRPS11	turquoise	turquoise
MRPS12	blue	blue
MRPS14	brown	brown
MRPS15	red	blue
MRPS16	turquoise	turquoise
MRPS17	grey	grey
MRPS18A	red	blue
MRPS18B	red	blue
MRPS18C	blue	blue
MRPS2	red	blue
MRPS21	turquoise	turquoise
MRPS22	yellow	green
MRPS23	red	blue
MRPS24	blue	blue
MRPS25	red	blue
MRPS26	blue	blue
MRPS27	turquoise	turquoise
MRPS28	brown	brown
MRPS30	midnightblue	black
MRPS31	turquoise	turquoise
MRPS33	brown	brown
MRPS34	blue	blue
MRPS35	midnightblue	black
MRPS36	midnightblue	black
MRPS5	red	blue
MRPS6	brown	brown
MRPS7	red	blue
MRPS9	turquoise	turquoise
MRRF	turquoise	turquoise
MRS2	brown	brown
MRTO4	blue	blue
MRVI1	blue	blue
MS4A1	brown	brown
MS4A10	green	green
MS4A2	magenta	magenta
MS4A6A	turquoise	turquoise
MS4A7	grey	grey
MSC	pink	pink
MSH2	brown	brown
MSH3	tan	brown
MSH4	grey	grey
MSH5-SAPCD1	turquoise	turquoise
MSH6	green	green
MSI2	green	green
MSL1	magenta	magenta
MSL2	green	green
MSL3	turquoise	turquoise
MSL3P1	turquoise	turquoise
MSMO1	black	black
MSMP	turquoise	turquoise
MSN	turquoise	turquoise
MSRA	pink	pink
MSRB2	turquoise	turquoise
MSRB3	purple	purple
MSS51	blue	blue
MST1	grey	grey
MST1P2	turquoise	turquoise
MST1R	turquoise	turquoise
MSTO1	blue	blue
MSTO2P	blue	blue
MSX2P1	black	black
MT1DP	turquoise	turquoise
MT1E	grey	grey
MT1F	turquoise	turquoise
MT1G	grey	grey
MT1L	grey	grey
MT1X	grey	grey
MT2A	grey	grey
MTA1	pink	pink
MTA2	yellow	green
MTA3	turquoise	turquoise
MTAP	brown	brown
MTBP	tan	brown
MTCH1	yellow	green
MTCH2	turquoise	turquoise
MTCP1	grey	grey
MTDH	yellow	green
MTF1	yellow	green
MTF2	black	black
MTFMT	brown	brown
MTFP1	yellow	green
MTFR1	black	black
MTG1	turquoise	turquoise
MTHFD1	turquoise	turquoise
MTHFD1L	pink	pink
MTHFD2	green	green
MTHFD2L	turquoise	turquoise
MTHFR	turquoise	turquoise
MTHFS	blue	blue
MTHFSD	turquoise	turquoise
MTIF2	brown	brown
MTIF3	brown	brown
MTL5	blue	blue
MTM1	blue	blue
MTMR1	green	green
MTMR10	green	green
MTMR11	grey	grey
MTMR12	yellow	green
MTMR14	yellow	green
MTMR2	brown	brown
MTMR3	yellow	green
MTMR4	salmon	purple
MTMR6	green	green
MTMR7	grey	grey
MTMR8	tan	brown
MTMR9	green	green
MTMR9LP	blue	blue
MTO1	red	blue
MTOR	salmon	purple
MTPAP	black	black
MTR	purple	purple
MTRF1	turquoise	turquoise
MTRF1L	black	black
MTRNR2L1	blue	blue
MTRNR2L10	magenta	magenta
MTRNR2L2	red	blue
MTRNR2L3	cyan	cyan
MTRNR2L4	grey	grey
MTRNR2L5	yellow	green
MTRNR2L6	blue	blue
MTRNR2L8	blue	blue
MTRR	red	blue
MTSS1	turquoise	turquoise
MTSS1L	green	green
MTUS1	grey	grey
MTUS2	grey	grey
MTX1	blue	blue
MTX2	brown	brown
MTX3	magenta	magenta
MUC1	turquoise	turquoise
MUC12	purple	purple
MUC16	grey	grey
MUC20	grey	grey
MUL1	yellow	green
MUM1	turquoise	turquoise
MURC	grey	grey
MUS81	turquoise	turquoise
MUSTN1	green	green
MUT	grey	grey
MUTYH	blue	blue
MVD	red	blue
MVK	turquoise	turquoise
MVP	turquoise	turquoise
MX1	turquoise	turquoise
MX2	turquoise	turquoise
MXD1	green	green
MXD3	yellow	green
MXD4	blue	blue
MXI1	greenyellow	greenyellow
MXRA7	grey	grey
MYADM	blue	blue
MYB	grey	grey
MYBBP1A	salmon	purple
MYBL1	tan	brown
MYBL2	blue	blue
MYC	blue	blue
MYCBP2	turquoise	turquoise
MYCBPAP	blue	blue
MYD88	blue	blue
MYEF2	yellow	green
MYEOV2	red	blue
MYH10	green	green
MYH11	purple	purple
MYH3	salmon	purple
MYH7B	red	blue
MYH9	turquoise	turquoise
MYL10	grey	grey
MYL12A	brown	brown
MYL12B	brown	brown
MYL5	grey	grey
MYL6	blue	blue
MYL6B	pink	pink
MYLIP	pink	pink
MYLK	grey	grey
MYLK-AS1	turquoise	turquoise
MYLK3	purple	purple
MYLK4	tan	brown
MYLPF	green	green
MYNN	black	black
MYO10	grey	grey
MYO15A	turquoise	turquoise
MYO15B	turquoise	turquoise
MYO16	grey	grey
MYO18A	turquoise	turquoise
MYO19	salmon	purple
MYO1C	blue	blue
MYO1D	pink	pink
MYO1E	grey	grey
MYO1F	turquoise	turquoise
MYO1G	turquoise	turquoise
MYO1H	red	blue
MYO3B	purple	purple
MYO5A	magenta	magenta
MYO5B	yellow	green
MYO5C	red	blue
MYO6	brown	brown
MYO7A	turquoise	turquoise
MYO9A	brown	brown
MYO9B	green	green
MYOM1	grey	grey
MYOM2	turquoise	turquoise
MYOM3	green	green
MYOT	magenta	magenta
MYOZ3	grey	grey
MYPOP	grey	grey
MYSM1	magenta	magenta
MYZAP	grey	grey
MZB1	grey	grey
MZF1	turquoise	turquoise
MZT1	black	black
MZT2A	pink	pink
MZT2B	pink	pink
N4BP1	green	green
N4BP2	magenta	magenta
N4BP2L1	brown	brown
N4BP2L2	tan	brown
N4BP3	greenyellow	greenyellow
N6AMT1	turquoise	turquoise
N6AMT2	brown	brown
NAA10	turquoise	turquoise
NAA15	midnightblue	black
NAA16	black	black
NAA20	turquoise	turquoise
NAA25	magenta	magenta
NAA30	green	green
NAA35	purple	purple
NAA38	blue	blue
NAA40	blue	blue
NAA50	black	black
NAA60	red	blue
NAAA	blue	blue
NAALAD2	grey	grey
NAALADL1	turquoise	turquoise
NAB1	greenyellow	greenyellow
NAB2	yellow	green
NACA	cyan	cyan
NACA2	grey	grey
NACC1	grey	grey
NACC2	turquoise	turquoise
NADK	turquoise	turquoise
NADSYN1	blue	blue
NAE1	midnightblue	black
NAF1	green	green
NAGA	turquoise	turquoise
NAGK	turquoise	turquoise
NAGLU	turquoise	turquoise
NAGPA	red	blue
NAGS	grey	grey
NAIF1	yellow	green
NAIP	turquoise	turquoise
NAMPT	greenyellow	greenyellow
NANOG	magenta	magenta
NANOS1	magenta	magenta
NANP	turquoise	turquoise
NANS	yellow	green
NAP1L1	blue	blue
NAP1L2	turquoise	turquoise
NAP1L3	pink	pink
NAP1L4	red	blue
NAP1L5	greenyellow	greenyellow
NAP1L6	grey	grey
NAPA	blue	blue
NAPB	midnightblue	black
NAPEPLD	brown	brown
NAPG	black	black
NAPSA	grey	grey
NAPSB	grey	grey
NARF	blue	blue
NARFL	turquoise	turquoise
NARS	yellow	green
NARS2	turquoise	turquoise
NASP	red	blue
NAT1	grey	grey
NAT10	salmon	purple
NAT14	grey	grey
NAT6	salmon	purple
NAT9	salmon	purple
NAV1	red	blue
NAV2	magenta	magenta
NBAS	turquoise	turquoise
NBEA	brown	brown
NBEAL1	brown	brown
NBEAL2	salmon	purple
NBN	tan	brown
NBPF1	turquoise	turquoise
NBPF10	salmon	purple
NBPF14	purple	purple
NBPF15	yellow	green
NBPF3	turquoise	turquoise
NBPF7	grey	grey
NBPF9	yellow	green
NBR1	brown	brown
NBR2	blue	blue
NCALD	brown	brown
NCAPD2	turquoise	turquoise
NCAPD3	blue	blue
NCAPG	brown	brown
NCAPG2	turquoise	turquoise
NCAPH	green	green
NCAPH2	red	blue
NCBP1	magenta	magenta
NCBP2	tan	brown
NCCRP1	green	green
NCDN	turquoise	turquoise
NCEH1	brown	brown
NCF1	grey	grey
NCF1B	turquoise	turquoise
NCF1C	turquoise	turquoise
NCF2	blue	blue
NCF4	turquoise	turquoise
NCK1	black	black
NCK2	turquoise	turquoise
NCKAP1	red	blue
NCKAP1L	turquoise	turquoise
NCKAP5L	purple	purple
NCKIPSD	turquoise	turquoise
NCL	turquoise	turquoise
NCLN	blue	blue
NCOA1	salmon	purple
NCOA2	yellow	green
NCOA3	turquoise	turquoise
NCOA4	red	blue
NCOA5	blue	blue
NCOA6	turquoise	turquoise
NCOA7	midnightblue	black
NCOR1	purple	purple
NCOR2	purple	purple
NCR1	grey	grey
NCR3	turquoise	turquoise
NCSTN	turquoise	turquoise
NDC80	black	black
NDE1	yellow	green
NDEL1	green	green
NDFIP1	black	black
NDFIP2	greenyellow	greenyellow
NDNL2	pink	pink
NDOR1	salmon	purple
NDRG1	yellow	green
NDRG2	turquoise	turquoise
NDRG3	brown	brown
NDRG4	grey	grey
NDST1	grey	grey
NDST2	yellow	green
NDST3	purple	purple
NDUFA1	tan	brown
NDUFA10	blue	blue
NDUFA11	turquoise	turquoise
NDUFA12	grey	grey
NDUFA13	blue	blue
NDUFA2	red	blue
NDUFA3	turquoise	turquoise
NDUFA4	midnightblue	black
NDUFA5	midnightblue	black
NDUFA6	black	black
NDUFA7	blue	blue
NDUFA8	blue	blue
NDUFA9	yellow	green
NDUFAB1	midnightblue	black
NDUFAF1	turquoise	turquoise
NDUFAF2	brown	brown
NDUFAF3	turquoise	turquoise
NDUFAF4	yellow	green
NDUFB1	brown	brown
NDUFB10	blue	blue
NDUFB11	red	blue
NDUFB2	turquoise	turquoise
NDUFB3	brown	brown
NDUFB4	red	blue
NDUFB5	brown	brown
NDUFB6	midnightblue	black
NDUFB7	turquoise	turquoise
NDUFB8	blue	blue
NDUFB9	red	blue
NDUFC1	midnightblue	black
NDUFC2	blue	blue
NDUFS1	blue	blue
NDUFS2	red	blue
NDUFS3	red	blue
NDUFS4	brown	brown
NDUFS5	red	blue
NDUFS6	blue	blue
NDUFS7	turquoise	turquoise
NDUFS8	turquoise	turquoise
NDUFV1	blue	blue
NDUFV2	black	black
NDUFV3	salmon	purple
NEAT1	tan	brown
NEB	brown	brown
NEBL	grey	grey
NECAB1	grey	grey
NECAB3	pink	pink
NECAP1	green	green
NECAP2	blue	blue
NEDD1	black	black
NEDD4	brown	brown
NEDD4L	black	black
NEDD8	turquoise	turquoise
NEDD9	red	blue
NEFH	turquoise	turquoise
NEFL	green	green
NEFM	grey	grey
NEIL1	pink	pink
NEIL2	blue	blue
NEIL3	tan	brown
NEK1	tan	brown
NEK10	grey	grey
NEK11	turquoise	turquoise
NEK2	yellow	green
NEK3	brown	brown
NEK4	brown	brown
NEK5	yellow	green
NEK6	turquoise	turquoise
NEK7	brown	brown
NEK8	turquoise	turquoise
NEK9	turquoise	turquoise
NELL2	grey	grey
NEMF	magenta	magenta
NENF	pink	pink
NEO1	grey	grey
NET1	green	green
NETO2	pink	pink
NEU1	yellow	green
NEU3	grey	grey
NEURL2	blue	blue
NEURL4	pink	pink
NEXN	magenta	magenta
NF1	brown	brown
NF2	yellow	green
NFAM1	grey	grey
NFAT5	magenta	magenta
NFATC1	blue	blue
NFATC2	blue	blue
NFATC2IP	pink	pink
NFATC3	turquoise	turquoise
NFE2L1	green	green
NFE2L2	greenyellow	greenyellow
NFE2L3	brown	brown
NFIA	tan	brown
NFIC	turquoise	turquoise
NFIL3	greenyellow	greenyellow
NFIX	grey	grey
NFKB1	pink	pink
NFKB2	pink	pink
NFKBIA	greenyellow	greenyellow
NFKBIB	yellow	green
NFKBID	blue	blue
NFKBIE	pink	pink
NFKBIL1	turquoise	turquoise
NFKBIZ	greenyellow	greenyellow
NFRKB	yellow	green
NFS1	salmon	purple
NFU1	turquoise	turquoise
NFX1	blue	blue
NFXL1	yellow	green
NFYA	turquoise	turquoise
NFYB	brown	brown
NFYC	turquoise	turquoise
NGDN	yellow	green
NGFRAP1	green	green
NGLY1	midnightblue	black
NGRN	yellow	green
NHEJ1	turquoise	turquoise
NHLRC1	turquoise	turquoise
NHLRC2	brown	brown
NHLRC3	brown	brown
NHLRC4	turquoise	turquoise
NHP2	turquoise	turquoise
NHP2L1	yellow	green
NHSL1	grey	grey
NHSL2	brown	brown
NICN1	blue	blue
NID2	grey	grey
NIF3L1	turquoise	turquoise
NIN	turquoise	turquoise
NINJ1	yellow	green
NINJ2	turquoise	turquoise
NINL	cyan	cyan
NIP7	yellow	green
NIPA1	green	green
NIPA2	yellow	green
NIPAL1	grey	grey
NIPAL2	blue	blue
NIPAL3	brown	brown
NIPAL4	blue	blue
NIPBL	magenta	magenta
NIPSNAP1	turquoise	turquoise
NIPSNAP3A	turquoise	turquoise
NIPSNAP3B	grey	grey
NISCH	purple	purple
NIT1	turquoise	turquoise
NIT2	turquoise	turquoise
NKAP	green	green
NKAPP1	blue	blue
NKD1	pink	pink
NKG7	grey	grey
NKIRAS1	magenta	magenta
NKIRAS2	yellow	green
NKPD1	grey	grey
NKRF	black	black
NKTR	magenta	magenta
